Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96
,,,,,Masked ID,76,46,1,69,86,62,82,52,26,10,57,89,37,31,18,14,88,7,59,40,41,38,20,5,65,4,32,53,78,46662,46669,46681,46659,46660,46653,46672,46674,46680,46667,46666,46675,46676,46677,46656,46670,48,58,3,85,2,44,68,61,25,70,39,21,66,49,27,13,22,72,6,87,84,56,33,51,67,12,19,24,81,46661,46673,46655,46663,46654,46683,46682,46652,46664,46678,46665,46668,46657,46658,46679,46671
,,,,,BCAC_ID,PBCS-110,PBCS-178,PBCS-231,PBCS-447,PBCS-506,PBCS-603,PBCS-684,PBCS-906,PBCS-1023,PBCS-1074,PBCS-1089,PBCS-1211,PBCS-1233,PBCS-1293,PBCS-1736,PBCS-1860,PBCS-1864,PBCS-2006,PBCS-2192,PBCS-3191,PBCS-3226,PBCS-3227,PBCS-3425,PBCS-3486,PBCS-3560,PBCS-4067,PBCS-4102,PBCS-4470,PBCS-4492,PBCS-886,PBCS-1498,PBCS-1754,PBCS-1572,PBCS-1573,PBCS-1243,PBCS-2020,PBCS-2197,PBCS-2213,PBCS-3961,PBCS-3754,PBCS-4454,PBCS-4457,PBCS-4464,PBCS-3890,PBCS-4356,PBCS-250,PBCS-654,PBCS-658,PBCS-189,PBCS-863,PBCS-67,PBCS-568,PBCS-2415,PBCS-648,PBCS-923,PBCS-1247,PBCS-1414,PBCS-1910,PBCS-914,PBCS-559,PBCS-994,PBCS-924,PBCS-106,PBCS-647,PBCS-3098,PBCS-3492,PBCS-3253,PBCS-2988,PBCS-3392,PBCS-2970,PBCS-3254,PBCS-3234,PBCS-2991,PBCS-3452,PBCS-1807,PBCS-2247,PBCS-1325,PBCS-1002,PBCS-1529,PBCS-2930,PBCS-2858,PBCS-1161,PBCS-640,PBCS-4512,PBCS-3771,PBCS-4032,PBCS-4082,PBCS-4128,PBCS-4544,PBCS-4419
,,,,,Subtype Status,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,BLBC,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
ID,Position,overall row,overall col,96plate,Protein_submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,1-48:5,48,5,2111-F10,LTA,9440344,5309965,3440696,3823078,3641613,2146218,6054971,3046484,4200224,3124190,5034699,1549002,2050872,1705292,2028553,2001176,2518896,3231103,2102259,2826956,1694216,5643041,3118771,4904711,2737440,3083600,1237223,2879049,3308284,1971064,2055462,1853854,5048861,5239470,2812665,3930252,4870372,2744493,2226295,2552190,2536344,14231761,4988937,3553299,1958372,4180942,4535513,3070353,2449008,4975819,2401347,3432628,2946087,4316660,2289677,1845445,1682457,2339586,2046766,2129034,2365155,1560423,2307656,2784427,1239399,2628590,5751195,2505399,1766688,1563003,3137025,1401934,2947170,1844177,2055300,1985829,2093865,3808622,2273512,3232689,3920504,1932735,3211761,7556493,5504916,1546356,2373935,2781605,2260956,2655128
1322,1-48:6,48,6,2111-H10,FOSL1,11680909,7988353,5697442,5400851,5531029,3377466,10018654,6647973,6551841,5839286,9582947,2525085,3505510,2765632,3065189,4035505,4127886,5992752,3287738,4960788,4316956,11776599,5990487,5720121,5332529,5676626,2695784,7245185,6105630,4882230,4097602,3724771,10062388,11899796,5327806,7841930,9178395,5656501,6481050,5944696,4875781,10210593,5171461,4768940,2496797,5640268,6820156,4597303,3837099,9119521,4267806,6878052,5041595,6376538,4395574,3346013,2584145,4012199,4544851,2896482,4633418,3497984,4470055,7029744,2552435,6576140,10444127,4674865,3337141,3151313,6788916,2641537,5347913,4679131,4936231,3422429,3722052,7305473,5294765,6698545,6612847,3835567,6569118,15818162,9588045,4830768,2869876,3447051,3623126,3172285
1323,1-48:7,48,7,3564-B04,GPR148,10725988,6247660,4199104,4738874,4363191,3137209,8135814,4274984,6133388,4506284,11396517,2919844,3127858,2781214,3381229,3596232,3468621,3860743,4883859,4839753,3185792,14069033,5764467,7814491,3374468,4747883,2703708,7180720,5409144,5375406,3598601,4037191,9075150,9108731,4597237,7797162,6223726,5346626,5002977,5025393,4180194,16755801,6918887,4009142,2182639,4973308,5557162,3344744,3614569,7102351,4237245,4855319,3277917,5682682,3343939,1950894,2507055,2934317,2696137,3856226,4160638,3329023,3680787,8795507,2238393,5219898,9609577,4057533,4026448,3594907,5764747,2710157,3128408,4423575,4381281,2504992,4371548,6621382,4323176,5168946,4542996,3336026,4659238,8172738,8168207,3700384,2937609,3958459,2296413,3575842
1324,1-48:8,48,8,2110-F04,RFC4,6568152,7005291,4285354,3071940,4993988,3065762,9168978,6872831,5128520,4589695,4949473,1307037,2262364,1832132,2395821,2201507,2131084,3257677,1790917,2913696,1799758,8229159,3486389,3860631,4754519,3305552,1439340,3675309,2366701,1827065,3081506,2165366,5391475,5796468,2902909,4524604,6806619,2635440,3616666,2997241,2979107,7776604,4228624,4537290,2447029,4575007,11266713,4010464,2732550,5290936,2994432,3669062,6473380,6392982,3255029,1936987,1433361,3625777,2430552,2358995,2408538,1925786,2952753,3177044,1530643,3571119,7403661,4240836,1733032,1847278,4173403,1600430,4591160,1941695,2332774,3234979,1735788,4264619,3050561,4769447,4938921,1848871,3642675,12473742,6136429,1700827,2109495,2809454,3216529,2856216
1325,1-48:9,48,9,2110-H04,Protein_0214,9879545,13121886,9959434,3415401,10004898,4813305,14385864,8721942,8134276,8021387,7176283,1578837,2711300,1849881,3872834,2005077,3685556,7933130,1849651,4891247,2441403,15377868,3692353,3861254,9745485,4628761,1822192,4569154,2640103,2168016,5056491,2445048,7959538,8281682,3335004,5154523,12666007,3156642,3862945,3389042,3319782,6265070,6292680,6661303,2805881,8268322,15292252,7763403,4063084,5808364,4663443,8747793,14646891,10804640,6916954,4606588,1624276,8046095,2225544,4084653,3341865,2049728,4465179,2830084,2268794,3518102,12368336,7994594,2101142,2709795,6015423,1833794,7316361,2048057,2393279,6454823,1921274,5359454,3604863,8481191,8744051,2172372,7233288,11459111,6408438,2053836,3502537,3530349,3203199,3808271
1326,1-48:10,48,10,2110-B10,GRAP2,8792956,8741806,5929905,4425913,5766122,3827607,10066428,7184815,6840829,6443493,7990416,2110991,3966505,1689232,3866398,2122728,3972310,5863756,2725532,4223025,2757380,11613970,4259879,3699440,5534379,4342324,2140935,6331692,3976168,2785744,4604150,3269644,7800318,8412369,3852629,6062340,8517597,4007644,5852934,4010598,3649680,10701875,5124766,4678262,2375240,5955518,7332325,5296606,3631894,6633005,3951908,4784324,6954044,7198616,4253276,3774433,1913689,3343505,2324640,2941123,3290236,2422107,3646518,4011003,1807174,6116169,7401266,4291686,2307705,2475312,5568156,2253882,5971888,3468535,3552027,3424227,2779157,5447699,4268614,6128972,6253510,2814933,6042443,14221582,7512655,3453726,4532668,3539566,3607804,3712564
1327,1-48:11,48,11,2110-D10,RBM8A,7265801,6615202,4001456,4159857,4214529,2597982,9635802,5146289,5614022,6239554,9204525,2372307,3926399,2507482,5326597,2990071,5463377,7027638,5092701,5393266,3904172,12516599,5453170,4882034,6314013,5774673,3140894,8388124,6648570,3963649,5401774,4364101,10624014,11266639,5085019,8368391,10637652,5322665,6463886,6301121,5155597,9308955,4713465,4327225,1998931,4858971,4899502,3514172,3173111,5406961,3518561,5367479,4458684,5017693,3312047,3074504,2150261,3523373,3827172,3979757,4592572,3246874,4428307,10239391,2646125,7771976,9184767,5559733,3715455,4310496,7283647,3148664,8359701,4650513,5846546,3516276,4539855,8119103,6496513,8180738,7093851,4421496,7875632,18246435,10209513,5197513,4137498,3287984,3807149,3743309
1328,1-48:12,48,12,2110-F10,SCG5,8187550,5864326,3974706,3980911,3910552,2373940,8046782,4709540,5255574,5146252,10742933,2787168,3463381,1946640,2612389,2244240,4554120,5582335,3520657,4164745,3552196,8782271,4995928,5099335,3836044,4421844,2238525,6808374,5951072,3432687,3861500,4182984,7859405,8944786,3980580,6980748,6676537,4742993,6070422,4709984,3738451,10375377,5058531,3561710,1296293,4186848,4623108,3050596,3114349,5935900,3158061,4447180,4744579,4765464,3094437,2717079,2147730,2841795,2375165,2634747,3512138,2791883,3322368,5637601,2059804,6384044,7097774,3403290,3366614,3541140,5931117,2690213,4973835,4387646,3553525,2292546,3389587,5447862,4961501,4850709,4392410,3320134,4917323,11665527,8353151,4026155,1676387,3203291,2308291,2762264
1329,1-48:13,48,13,2110-H10,POMC,9463744,7535724,6691857,6367840,5580042,3999465,11435537,8014243,8926304,9249077,15349132,3943093,6171395,3246245,5003181,3724273,7529838,9513803,5211449,7387840,6621096,19150614,9354018,7476506,6144270,7713721,4411202,11972586,11681771,8079900,6222538,7239382,13799727,17869795,7045572,12708302,11106881,6338861,9455758,8477921,6180230,11005868,8069572,4610703,1627565,5050758,6385575,4558192,5389999,8105930,3355592,8666566,6381016,8940886,5563457,4528906,3810739,4604702,3903204,4874292,6381848,4578636,5506351,8024285,3762916,9839231,9548984,5584111,5920032,5815926,8917791,4320320,7929612,9066748,7301367,3947502,5955499,9364614,8223684,7960314,7388608,5388540,7480208,17421808,11706129,6380228,3302034,4710588,4530170,4034621
1330,1-48:14,48,14,3563-B04,GPR81,9675237,7635142,5054170,6591305,4975502,3598907,11697629,8339555,7460348,7270360,13738950,3684105,4859317,3021697,5598106,3693833,6181831,8883588,4773886,7308601,6536254,25409408,8697538,10268715,5036853,8978376,5305929,11085392,12470001,8539184,5835071,6718877,15534839,16408828,6977716,12920627,12804903,6368529,7548553,9692503,6100026,15423622,9933992,5323811,2151145,5527229,6144046,4174924,4338710,7579405,4484347,5954057,4299858,7668461,3836169,4131543,3452853,3631300,2972251,4815407,4892492,4738743,5652218,5945704,3354466,7644234,10282221,4874014,5596469,5159811,8355573,3778988,6428079,8533250,7393030,4461393,14275703,9786472,6870540,8081928,6444588,5921395,8899268,17163177,10171085,5113160,3556798,5081387,3757159,4524210
1331,1-48:15,48,15,2111-E04,DUT,10425003,4513870,3273296,3192807,2601358,2762283,5951264,3760119,4924176,4683076,8343038,2942763,3224403,2406439,3070450,2536985,4783416,4034074,2785152,4393792,4247975,8506673,4201911,6414609,2601530,5130793,2169789,4168710,5652806,4118510,2894208,3271944,6637544,5658268,4326649,6447207,4690904,3964668,3675040,3501584,3788676,15935452,5870419,3744962,1652290,4042683,3423643,2459249,2584466,4352701,2635217,3504642,2825061,5030549,3293298,3135073,2376253,2619908,1776893,2658330,3061883,2572019,2804788,3302165,1742359,3012373,6961353,2650018,2853215,2388146,4830566,1954645,3312941,3714900,3328595,2289543,2691310,4184570,2673121,4240120,3223165,2882521,4611781,5455596,8590827,2758865,2179562,3896086,2744971,3606239
1332,1-48:16,48,16,2111-G04,FLOT2,9474231,5365121,3568971,4225248,3340173,2482351,7907667,4853532,5165768,6849006,10557586,3197911,4082385,2877225,2780968,2295663,3995100,3784658,2625634,3844178,3461746,8153103,3424834,5808278,2577984,3977050,1838487,3809531,4653071,3972521,2558799,2991181,5744638,8364272,4168319,6686788,4734520,3936586,3439518,3343621,2878133,13393375,7558709,4385604,1907017,4690817,4335267,2640259,3089833,4841105,3114688,4321654,3202063,5801191,3255406,3326743,2639800,2997333,1523474,2527124,2812092,2456601,2367416,2749543,1472528,2977800,5298606,2253373,2738438,2088132,3845051,1680168,3268438,3764382,3353306,2288558,2446736,3834218,2644286,3759952,3088015,2781768,4009932,6974406,6255373,2234093,2159211,4313291,4318668,4226690
1333,1-48:17,48,17,2111-A10,PSMB8,8629949,6377127,4618138,4084290,4905251,3565150,8462603,5770906,4691471,4791909,7486319,2551259,3862988,2353135,4624621,2678350,4468065,5489362,3298016,4519766,5389278,8893815,4425470,6028898,4740103,4619114,2048329,4749763,5280972,3033244,3557164,3106816,6831439,7574566,3698466,6379063,7722563,4145661,4938270,4243557,3462778,13782792,5613323,4450894,2000742,5072769,6156508,3795395,3482811,5766295,4226931,4721623,3887180,6287602,3261000,3630096,2217610,3694283,3618210,3006162,3566441,2687462,4113267,5741844,1939085,6138372,8832326,4721748,3088208,2137695,4915837,2017332,5291880,3796990,3411090,3072120,2721296,4967250,3777806,5028812,4538649,2788706,5720013,10591536,6775138,3825228,3910749,3763489,3957475,3430908
1334,1-48:18,48,18,2111-C10,Protein_0215,8976856,5204016,4019294,4067522,3618000,2675734,8038635,4796720,4848654,4866025,9370598,2549041,3978248,2561648,3903084,2680612,4505172,5422421,3277505,4153904,3861863,8083306,4391504,6558734,3960886,5016218,2065434,4885995,5763771,3786972,3077632,3459428,7370258,7776519,4233284,6340862,6963032,4856313,4274762,3758859,3434767,15484562,6110032,4128638,1793163,4513867,4343223,3227949,3678513,5439706,3462143,4395912,3493818,5820386,3620085,3420669,2472093,3102711,4226677,3277989,3568469,2549732,3355269,5865198,1659675,4057631,8360146,3881246,2920816,2384732,4246991,2316731,4696883,3947858,3456533,2731820,2826380,4712745,3481681,4629361,4272019,2817489,5099774,6912854,7755529,3543212,2586747,3839484,3536043,3279136
1335,1-48:19,48,19,2111-E10,RHOB,8157773,6040138,4184510,3738102,3902762,3059571,7935627,4395760,4581563,4721732,7462374,2472214,3599646,2350631,3492770,2414475,4171972,4785142,3077686,4039982,4242337,8138662,4108429,6173079,4102766,4415534,1824152,4037640,5346807,2858680,3129855,3212713,6667120,7204547,3951681,6190028,6269048,3612268,3723288,3526965,3142493,16138915,5668623,4513052,2265552,5334755,5079085,3639262,3024143,5303522,3284751,4397875,3678578,5386815,3108945,3444909,2282795,3313783,3832353,2680465,3303588,2247303,3552412,6116054,1887304,4154066,7998747,3835796,2797859,2201845,4149053,2273002,4900951,3544296,2845393,2607153,2361547,4143061,3323419,4256872,3949714,2683359,4923786,7143142,6700890,2849622,2633480,3752381,4344513,3155992
